What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
18-24,Male,Other,No,Yes,Less than 1 year,No,A significant role,Friends or peer influence;Social media and online success stories;Family pressure or support,"Europe (e.g., Germany, Sweden)",Sometimes,Political stability;Better job opportunities;Better living standards,Nothing,Other,Yes,All country Embassy is not in Bangladesh;Job information or experience;Visa or immigration process,Not sure,Negative impact,Not Sure,Yes,4
18-24,Male,Student,No,Yes,3-5 years,No,A minor role,Personal research and aspirations;Family pressure or support;Social media and online success stories,Australia,Sometimes,Better living standards;Political stability;Better job opportunities,Cultural shock;Language barriers;Job uncertainty,Talking to family and friends,I’m not sure,Financial issues;All country Embassy is not in Bangladesh;Educational qualification,Yes,Negative impact,Not Sure,Maybe,1
31-40,Male,Self-employed,Yes,No,Less than 1 year,No,A moderate role,Social media and online success stories;Personal research and aspirations;Career mentors or teachers,USA,Always,Better job opportunities;Healthcare;Higher education,Cultural shock;Visa or immigration concerns;Social acceptance,Talking to family and friends,No change,Visa or immigration process;Financial issues;All country Embassy is not in Bangladesh,No,Not sure,Not Sure,Yes,2
40 or above,Male,Self-employed,No,Not sure yet,Permanently,Maybe,A minor role,Personal research and aspirations;Career mentors or teachers;Social media and online success stories,Australia,Always,Better living standards;Economic opportunities;Higher education,Social acceptance;Separation from family;Visa or immigration concerns,Hobbies or physical exercise,Yes,Educational qualification;Financial issues;All country Embassy is not in Bangladesh,Not sure,Positive impact,Not Sure,Yes,1
18-24,Male,Self-employed,Yes,Not sure yet,3-5 years,No,A significant role,Family pressure or support;Personal research and aspirations;Social media and online success stories,Australia,Sometimes,Higher education;Better job opportunities;Desire for independence,Visa or immigration concerns;Job uncertainty;Separation from family,Hobbies or physical exercise,Yes,All country Embassy is not in Bangladesh;Financial issues;Job information or experience,Not sure,Not sure,Yes,No,4
40 or above,Male,Self-employed,No,Not sure yet,3-5 years,Maybe,A moderate role,Family pressure or support;Friends or peer influence;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Always,Political stability;Desire for independence;Healthcare,Visa or immigration concerns;Language barriers;Cultural shock,Professional counseling,No,All country Embassy is not in Bangladesh;Job information or experience;Educational qualification,Yes,Negative impact,Yes,Maybe,1
25-30,Male,Student,No,No,3-5 years,No,No role at all,Family pressure or support;Career mentors or teachers;Social media and online success stories,Canada,Rarely,Economic opportunities;Better living standards;Better job opportunities,Cultural shock;Separation from family;Job uncertainty,Hobbies or physical exercise,No,Visa or immigration process;All country Embassy is not in Bangladesh;Family pressure or support,Yes,No impact,Yes,Maybe,1
18-24,Female,Student,No,No,3-5 years,Yes,A significant role,Career mentors or teachers;Personal research and aspirations;Family pressure or support,Australia,Rarely,Economic opportunities;Better job opportunities;Political stability,Social acceptance;Job uncertainty;Cultural shock,Other,No change,Financial issues;All country Embassy is not in Bangladesh;Visa or immigration process,Not sure,Positive impact,Yes,No,5
40 or above,Female,Freelancer,No,Yes,Permanently,Yes,A minor role,Family pressure or support;Career mentors or teachers;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Never,Desire for independence;Political stability;Better job opportunities,Social acceptance;Separation from family;Cultural shock,Talking to family and friends,No change,All country Embassy is not in Bangladesh;Financial issues;Educational qualification,Yes,Positive impact,No,No,5
18-24,Female,Employed,Yes,Yes,Less than 1 year,No,A moderate role,Personal research and aspirations;Career mentors or teachers;Family pressure or support,Canada,Never,Higher education;Better job opportunities;Better living standards,Job uncertainty;Social acceptance;Cultural shock,Other,Yes,Educational qualification;Family pressure or support;Job information or experience,Yes,No impact,Yes,Yes,5
25-30,Male,Student,Yes,No,Permanently,No,No role at all,Friends or peer influence;Career mentors or teachers;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Rarely,Better job opportunities;Higher education;Economic opportunities,Social acceptance;Language barriers;Job uncertainty,Joining online forums,Yes,Visa or immigration process;Educational qualification;Family pressure or support,Yes,Positive impact,Not Sure,Yes,4
40 or above,Male,Other,No,Yes,Less than 1 year,No,A significant role,Friends or peer influence;Career mentors or teachers;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Sometimes,Healthcare;Better living standards;Economic opportunities,Cultural shock;Separation from family;Social acceptance,Talking to family and friends,I’m not sure,Financial issues;All country Embassy is not in Bangladesh;Family pressure or support,No,Not sure,Yes,No,5
25-30,Male,Student,Yes,Not sure yet,Permanently,Maybe,A significant role,Social media and online success stories;Friends or peer influence;Family pressure or support,USA,Never,Healthcare;Desire for independence;Higher education,Language barriers;Visa or immigration concerns;Social acceptance,Hobbies or physical exercise,No change,Job information or experience;Financial issues;Family pressure or support,Yes,Not sure,Yes,Yes,5
31-40,Male,Freelancer,No,No,1-2 years,No,A minor role,Friends or peer influence;Career mentors or teachers;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Rarely,Political stability;Economic opportunities;Higher education,Language barriers;Separation from family;Social acceptance,Joining online forums,I’m not sure,Family pressure or support;Visa or immigration process;All country Embassy is not in Bangladesh,Not sure,Positive impact,Yes,No,4
25-30,Female,Student,Yes,Yes,3-5 years,Yes,A significant role,Career mentors or teachers;Family pressure or support;Social media and online success stories,Canada,Sometimes,Higher education;Healthcare;Better job opportunities,Language barriers;Separation from family;Visa or immigration concerns,Hobbies or physical exercise,I’m not sure,Job information or experience;Family pressure or support;All country Embassy is not in Bangladesh,No,No impact,No,No,3
25-30,Male,Other,Yes,No,3-5 years,Yes,A minor role,Family pressure or support;Friends or peer influence;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Sometimes,Higher education;Better living standards;Political stability,Social acceptance;Visa or immigration concerns;Job uncertainty,Other,No,All country Embassy is not in Bangladesh;Family pressure or support;Educational qualification,Not sure,No impact,Not Sure,Yes,5
25-30,Male,Employed,No,Yes,Permanently,Maybe,No role at all,Family pressure or support;Friends or peer influence;Career mentors or teachers,USA,Always,Political stability;Higher education;Desire for independence,Separation from family;Visa or immigration concerns;Cultural shock,Professional counseling,No,Visa or immigration process;All country Embassy is not in Bangladesh;Job information or experience,No,Negative impact,No,Maybe,2
40 or above,Female,Employed,Yes,Yes,3-5 years,Yes,A moderate role,Friends or peer influence;Personal research and aspirations;Social media and online success stories,Canada,Rarely,Political stability;Desire for independence;Economic opportunities,Nothing,Joining online forums,Yes,Job information or experience;Visa or immigration process;Financial issues,No,Negative impact,Not Sure,Maybe,4
25-30,Male,Student,Yes,No,1-2 years,Yes,No role at all,Social media and online success stories;Personal research and aspirations;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Sometimes,Political stability;Better living standards;Desire for independence,Visa or immigration concerns;Separation from family;Language barriers,Talking to family and friends,No change,Educational qualification;Visa or immigration process;Family pressure or support,No,No impact,Not Sure,No,5
18-24,Female,Student,Yes,No,1-2 years,No,A minor role,Friends or peer influence;Career mentors or teachers;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Sometimes,Desire for independence;Better job opportunities;Higher education,Separation from family;Visa or immigration concerns;Social acceptance,Professional counseling,No change,All country Embassy is not in Bangladesh;Visa or immigration process;Job information or experience,Not sure,No impact,Not Sure,Maybe,5
18-24,Female,Other,Yes,No,1-2 years,No,A moderate role,Friends or peer influence;Career mentors or teachers;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Never,Political stability;Better job opportunities;Economic opportunities,Visa or immigration concerns;Separation from family;Language barriers,Joining online forums,I’m not sure,All country Embassy is not in Bangladesh;Job information or experience;Financial issues,Yes,Positive impact,Yes,Maybe,3
18-24,Female,Unemployed,Yes,Not sure yet,Less than 1 year,Maybe,A significant role,Family pressure or support;Social media and online success stories;Personal research and aspirations,Canada,Never,Economic opportunities;Better job opportunities;Political stability,Visa or immigration concerns;Separation from family;Language barriers,Joining online forums,No,Visa or immigration process;Financial issues;Educational qualification,No,Not sure,Not Sure,Maybe,5
18-24,Male,Student,Yes,No,Permanently,Yes,A minor role,Career mentors or teachers;Family pressure or support;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Always,Economic opportunities;Better job opportunities;Desire for independence,Separation from family;Visa or immigration concerns;Job uncertainty,Joining online forums,I’m not sure,Educational qualification;Visa or immigration process;Job information or experience,Not sure,Positive impact,Yes,Yes,5
40 or above,Male,Freelancer,Yes,Not sure yet,1-2 years,Yes,A significant role,Family pressure or support;Social media and online success stories;Friends or peer influence,Australia,Sometimes,Political stability;Better job opportunities;Healthcare,Visa or immigration concerns;Separation from family;Language barriers,Joining online forums,No change,Visa or immigration process;Job information or experience;Family pressure or support,No,Positive impact,Not Sure,No,4
25-30,Male,Student,No,No,Permanently,No,A significant role,Family pressure or support;Social media and online success stories;Friends or peer influence,UK,Often,Economic opportunities;Healthcare;Better job opportunities,Visa or immigration concerns;Separation from family;Social acceptance,Other,No change,Financial issues;Family pressure or support;Educational qualification,No,No impact,Not Sure,Yes,5
18-24,Male,Unemployed,No,Not sure yet,Less than 1 year,Yes,A moderate role,Personal research and aspirations;Family pressure or support;Social media and online success stories,UK,Always,Better job opportunities;Desire for independence;Better living standards,Separation from family;Visa or immigration concerns;Social acceptance,Professional counseling,Yes,Visa or immigration process;Job information or experience;All country Embassy is not in Bangladesh,Not sure,Not sure,No,Yes,3
31-40,Male,Freelancer,No,No,1-2 years,No,A significant role,Career mentors or teachers;Social media and online success stories;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Often,Economic opportunities;Desire for independence;Better job opportunities,Separation from family;Visa or immigration concerns;Job uncertainty,Professional counseling,No,All country Embassy is not in Bangladesh;Educational qualification;Family pressure or support,Yes,Negative impact,Not Sure,Maybe,3
31-40,Male,Freelancer,Yes,Not sure yet,Less than 1 year,Yes,A minor role,Career mentors or teachers;Friends or peer influence;Family pressure or support,USA,Always,Better job opportunities;Higher education;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Joining online forums,No,Financial issues;All country Embassy is not in Bangladesh;Educational qualification,No,Negative impact,Not Sure,No,1
25-30,Female,Student,No,No,3-5 years,Maybe,A moderate role,Friends or peer influence;Personal research and aspirations;Family pressure or support,USA,Rarely,Better job opportunities;Desire for independence;Better living standards,Visa or immigration concerns;Separation from family;Social acceptance,Professional counseling,I’m not sure,Financial issues;Job information or experience;Educational qualification,Not sure,Positive impact,Not Sure,Maybe,4
25-30,Male,Student,Yes,No,1-2 years,No,A moderate role,Personal research and aspirations;Career mentors or teachers;Family pressure or support,Australia,Never,Economic opportunities;Better job opportunities;Higher education,Separation from family;Visa or immigration concerns;Social acceptance,Hobbies or physical exercise,No,Financial issues;Visa or immigration process;Educational qualification,Not sure,Negative impact,Not Sure,No,3
31-40,Female,Self-employed,Yes,No,Permanently,Maybe,A minor role,Career mentors or teachers;Family pressure or support;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Healthcare;Better living standards;Better job opportunities,Separation from family;Visa or immigration concerns;Social acceptance,Other,Yes,All country Embassy is not in Bangladesh;Visa or immigration process;Job information or experience,Not sure,Positive impact,Not Sure,Yes,4
18-24,Male,Student,No,Not sure yet,Permanently,No,A moderate role,Family pressure or support;Personal research and aspirations;Social media and online success stories,USA,Often,Economic opportunities;Better living standards;Political stability,Visa or immigration concerns;Separation from family;Cultural shock,Hobbies or physical exercise,I’m not sure,All country Embassy is not in Bangladesh;Family pressure or support;Financial issues,Not sure,Positive impact,Yes,Yes,4
18-24,Male,Student,Yes,Not sure yet,1-2 years,No,No role at all,Career mentors or teachers;Family pressure or support;Personal research and aspirations,Canada,Never,Desire for independence;Higher education;Healthcare,Separation from family;Visa or immigration concerns;Social acceptance,Hobbies or physical exercise,No change,Educational qualification;All country Embassy is not in Bangladesh;Job information or experience,No,Positive impact,No,No,2
25-30,Male,Employed,Yes,Not sure yet,1-2 years,Yes,A significant role,Social media and online success stories;Career mentors or teachers;Family pressure or support,"Europe (e.g., Germany, Sweden)",Rarely,Better job opportunities;Higher education;Better living standards,Visa or immigration concerns;Separation from family;Language barriers,Talking to family and friends,No change,Visa or immigration process;Job information or experience;Family pressure or support,Not sure,No impact,Yes,Maybe,4
18-24,Male,Freelancer,No,Not sure yet,Permanently,Maybe,A minor role,Social media and online success stories;Family pressure or support;Personal research and aspirations,UK,Sometimes,Better job opportunities;Economic opportunities;Healthcare,Nothing,Joining online forums,No change,Job information or experience;Family pressure or support;Educational qualification,Not sure,No impact,Not Sure,No,5
18-24,Male,Student,Yes,Yes,Permanently,Yes,A moderate role,Career mentors or teachers;Personal research and aspirations;Family pressure or support,Canada,Sometimes,Healthcare;Desire for independence;Better living standards,Visa or immigration concerns;Separation from family;Language barriers,Professional counseling,No change,Family pressure or support;Financial issues;All country Embassy is not in Bangladesh,Yes,Not sure,Not Sure,Maybe,5
18-24,Male,Student,No,No,Permanently,No,A minor role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,Canada,Always,Healthcare;Political stability;Desire for independence,Separation from family;Visa or immigration concerns;Social acceptance,Other,I’m not sure,All country Embassy is not in Bangladesh;Financial issues;Visa or immigration process,Yes,No impact,Yes,Maybe,5
25-30,Male,Unemployed,No,Not sure yet,Less than 1 year,Yes,No role at all,Social media and online success stories;Personal research and aspirations;Family pressure or support,Canada,Always,Desire for independence;Better living standards;Higher education,Visa or immigration concerns;Separation from family;Social acceptance,Hobbies or physical exercise,No,Job information or experience;Family pressure or support;Educational qualification,Not sure,Positive impact,No,No,4
40 or above,Female,Other,Yes,No,Permanently,No,A moderate role,Family pressure or support;Friends or peer influence;Social media and online success stories,Australia,Always,Higher education;Political stability;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Hobbies or physical exercise,Yes,Educational qualification;Visa or immigration process;Financial issues,Not sure,Negative impact,No,Maybe,3
40 or above,Male,Self-employed,Yes,Yes,3-5 years,Yes,A moderate role,Family pressure or support;Social media and online success stories;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Desire for independence;Healthcare;Political stability,Visa or immigration concerns;Separation from family;Language barriers,Talking to family and friends,No change,Family pressure or support;Job information or experience;Financial issues,No,Positive impact,Yes,Yes,4
25-30,Male,Student,Yes,No,Permanently,No,A minor role,Social media and online success stories;Career mentors or teachers;Family pressure or support,Australia,Always,Higher education;Better living standards;Better job opportunities,Visa or immigration concerns;Separation from family;Social acceptance,Joining online forums,Yes,Job information or experience;All country Embassy is not in Bangladesh;Educational qualification,Not sure,Negative impact,No,No,5
40 or above,Female,Unemployed,Yes,Yes,3-5 years,Maybe,A significant role,Friends or peer influence;Social media and online success stories;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Always,Better job opportunities;Economic opportunities;Better living standards,Separation from family;Visa or immigration concerns;Cultural shock,Hobbies or physical exercise,Yes,Family pressure or support;All country Embassy is not in Bangladesh;Job information or experience,Yes,Negative impact,Not Sure,Maybe,4
25-30,Male,Student,Yes,No,Permanently,Yes,A minor role,Career mentors or teachers;Personal research and aspirations;Friends or peer influence,Australia,Always,Desire for independence;Economic opportunities;Higher education,Visa or immigration concerns;Separation from family;Social acceptance,Hobbies or physical exercise,Yes,Visa or immigration process;All country Embassy is not in Bangladesh;Educational qualification,Yes,Not sure,Not Sure,No,5
31-40,Male,Employed,No,Not sure yet,Permanently,No,A significant role,Family pressure or support;Social media and online success stories;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Rarely,Economic opportunities;Better living standards;Political stability,Separation from family;Visa or immigration concerns;Job uncertainty,Hobbies or physical exercise,No change,Educational qualification;Financial issues;All country Embassy is not in Bangladesh,Not sure,Positive impact,No,Maybe,2
18-24,Male,Student,No,Not sure yet,Less than 1 year,Maybe,A minor role,Social media and online success stories;Family pressure or support;Friends or peer influence,USA,Always,Economic opportunities;Better living standards;Desire for independence,Visa or immigration concerns;Separation from family;Social acceptance,Joining online forums,I’m not sure,All country Embassy is not in Bangladesh;Job information or experience;Visa or immigration process,No,Positive impact,Yes,Maybe,4
18-24,Female,Student,No,Not sure yet,Less than 1 year,No,A moderate role,Social media and online success stories;Family pressure or support;Personal research and aspirations,Canada,Rarely,Better job opportunities;Economic opportunities;Desire for independence,Nothing,Professional counseling,No,Job information or experience;Visa or immigration process;Financial issues,Yes,Negative impact,No,No,2
18-24,Male,Unemployed,No,Yes,Less than 1 year,Yes,A moderate role,Personal research and aspirations;Friends or peer influence;Social media and online success stories,USA,Always,Higher education;Better job opportunities;Desire for independence,Visa or immigration concerns;Separation from family;Job uncertainty,Talking to family and friends,Yes,Visa or immigration process;Educational qualification;Family pressure or support,Not sure,Positive impact,Yes,Maybe,3
18-24,Female,Student,No,No,Permanently,No,A minor role,Family pressure or support;Career mentors or teachers;Personal research and aspirations,Canada,Rarely,Desire for independence;Economic opportunities;Healthcare,Nothing,Joining online forums,Yes,Financial issues;Family pressure or support;Educational qualification,Yes,Positive impact,No,No,5
25-30,Male,Unemployed,No,No,1-2 years,No,A significant role,Social media and online success stories;Friends or peer influence;Family pressure or support,"Europe (e.g., Germany, Sweden)",Sometimes,Better living standards;Economic opportunities;Better job opportunities,Visa or immigration concerns;Separation from family;Job uncertainty,Talking to family and friends,Yes,Family pressure or support;Job information or experience;Educational qualification,Not sure,Positive impact,Yes,Maybe,2
18-24,Male,Student,Yes,Not sure yet,Permanently,Maybe,A minor role,Personal research and aspirations;Career mentors or teachers;Family pressure or support,Canada,Never,Better living standards;Desire for independence;Higher education,Nothing,Professional counseling,Yes,Family pressure or support;Visa or immigration process;Financial issues,Yes,Not sure,No,No,5
18-24,Male,Student,Yes,Yes,Less than 1 year,Yes,A minor role,Friends or peer influence;Family pressure or support;Career mentors or teachers,Australia,Always,Better living standards;Healthcare;Political stability,Visa or immigration concerns;Separation from family;Cultural shock,Hobbies or physical exercise,Yes,Job information or experience;Visa or immigration process;Educational qualification,No,Positive impact,Not Sure,No,4
40 or above,Male,Freelancer,No,Yes,Permanently,Maybe,A significant role,Career mentors or teachers;Family pressure or support;Friends or peer influence,USA,Rarely,Economic opportunities;Better living standards;Desire for independence,Separation from family;Visa or immigration concerns;Cultural shock,Professional counseling,No,Educational qualification;Job information or experience;Family pressure or support,No,Positive impact,Not Sure,No,2
25-30,Male,Student,Yes,Not sure yet,3-5 years,No,A significant role,Social media and online success stories;Personal research and aspirations;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Never,Political stability;Desire for independence;Higher education,Separation from family;Visa or immigration concerns;Cultural shock,Talking to family and friends,Yes,All country Embassy is not in Bangladesh;Educational qualification;Visa or immigration process,No,Positive impact,No,Yes,5
25-30,Male,Freelancer,Yes,No,Permanently,Maybe,No role at all,Friends or peer influence;Family pressure or support;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Always,Better job opportunities;Better living standards;Political stability,Visa or immigration concerns;Separation from family;Job uncertainty,Professional counseling,No,Job information or experience;Family pressure or support;Visa or immigration process,Yes,Not sure,No,Yes,3
40 or above,Female,Employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,USA,Never,Better job opportunities;Economic opportunities;Healthcare,Visa or immigration concerns;Separation from family;Job uncertainty,Other,Yes,Financial issues;Job information or experience;Visa or immigration process,No,Negative impact,Not Sure,Maybe,1
31-40,Male,Employed,No,No,3-5 years,Yes,A minor role,Family pressure or support;Personal research and aspirations;Friends or peer influence,Australia,Rarely,Healthcare;Desire for independence;Political stability,Nothing,Talking to family and friends,Yes,Job information or experience;Financial issues;Family pressure or support,Not sure,Not sure,Yes,Maybe,5
31-40,Male,Freelancer,Yes,Not sure yet,Less than 1 year,Maybe,No role at all,Personal research and aspirations;Friends or peer influence;Social media and online success stories,UK,Sometimes,Healthcare;Better living standards;Higher education,Separation from family;Visa or immigration concerns;Job uncertainty,Other,No change,Financial issues;Visa or immigration process;Family pressure or support,Not sure,Positive impact,No,No,3
40 or above,Female,Employed,No,Yes,3-5 years,No,No role at all,Friends or peer influence;Family pressure or support;Personal research and aspirations,Australia,Always,Better living standards;Better job opportunities;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Other,No change,Educational qualification;Visa or immigration process;Family pressure or support,No,Positive impact,Yes,No,3
31-40,Male,Self-employed,No,No,Less than 1 year,Yes,No role at all,Family pressure or support;Career mentors or teachers;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Higher education;Political stability;Better job opportunities,Nothing,Other,No,Financial issues;Family pressure or support;Job information or experience,Not sure,Negative impact,No,Maybe,3
25-30,Female,Student,Yes,No,Permanently,Maybe,A moderate role,Career mentors or teachers;Family pressure or support;Personal research and aspirations,UK,Always,Better job opportunities;Higher education;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Joining online forums,Yes,Job information or experience;Family pressure or support;Visa or immigration process,Yes,Not sure,No,No,2
18-24,Male,Student,Yes,Yes,Less than 1 year,No,A minor role,Social media and online success stories;Family pressure or support;Personal research and aspirations,Australia,Always,Healthcare;Desire for independence;Better job opportunities,Visa or immigration concerns;Separation from family;Job uncertainty,Other,No change,Financial issues;Visa or immigration process;Job information or experience,Not sure,Negative impact,Not Sure,Yes,3
18-24,Female,Student,Yes,No,Less than 1 year,No,A minor role,Personal research and aspirations;Social media and online success stories;Family pressure or support,Australia,Always,Higher education;Economic opportunities;Better job opportunities,Separation from family;Visa or immigration concerns;Job uncertainty,Hobbies or physical exercise,No,Job information or experience;Visa or immigration process;Financial issues,Yes,Not sure,Yes,Yes,5
25-30,Female,Student,No,Not sure yet,1-2 years,Maybe,A significant role,Friends or peer influence;Personal research and aspirations;Career mentors or teachers,Australia,Often,Political stability;Desire for independence;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Hobbies or physical exercise,Yes,Financial issues;Job information or experience;Family pressure or support,Yes,Negative impact,Yes,No,4
18-24,Male,Student,Yes,Yes,3-5 years,Maybe,A minor role,Career mentors or teachers;Personal research and aspirations;Family pressure or support,Canada,Rarely,Better job opportunities;Higher education;Healthcare,Nothing,Other,No change,Educational qualification;Family pressure or support;All country Embassy is not in Bangladesh,Yes,No impact,No,Yes,2
18-24,Male,Self-employed,No,No,Less than 1 year,Maybe,No role at all,Career mentors or teachers;Personal research and aspirations;Friends or peer influence,Australia,Often,Higher education;Better job opportunities;Better living standards,Separation from family;Visa or immigration concerns;Language barriers,Talking to family and friends,Yes,Family pressure or support;All country Embassy is not in Bangladesh;Financial issues,Not sure,No impact,Yes,No,1
18-24,Male,Student,Yes,Not sure yet,Less than 1 year,Yes,A moderate role,Social media and online success stories;Family pressure or support;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Always,Political stability;Healthcare;Desire for independence,Visa or immigration concerns;Separation from family;Job uncertainty,Professional counseling,No change,Financial issues;Educational qualification;Family pressure or support,No,Negative impact,Not Sure,Maybe,3
40 or above,Male,Unemployed,Yes,Not sure yet,1-2 years,Yes,A significant role,Personal research and aspirations;Friends or peer influence;Career mentors or teachers,UK,Always,Desire for independence;Economic opportunities;Political stability,Separation from family;Visa or immigration concerns;Cultural shock,Talking to family and friends,No change,All country Embassy is not in Bangladesh;Financial issues;Job information or experience,No,No impact,Yes,Maybe,4
31-40,Male,Unemployed,Yes,Not sure yet,Less than 1 year,Yes,A moderate role,Family pressure or support;Personal research and aspirations;Friends or peer influence,Australia,Sometimes,Political stability;Better job opportunities;Higher education,Separation from family;Visa or immigration concerns;Cultural shock,Hobbies or physical exercise,No,Educational qualification;Financial issues;All country Embassy is not in Bangladesh,Not sure,Negative impact,No,No,3
31-40,Male,Unemployed,Yes,Not sure yet,1-2 years,Maybe,A moderate role,Family pressure or support;Friends or peer influence;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Often,Healthcare;Political stability;Desire for independence,Visa or immigration concerns;Separation from family;Job uncertainty,Other,I’m not sure,Educational qualification;Family pressure or support;Job information or experience,Not sure,Not sure,Yes,No,4
40 or above,Male,Self-employed,Yes,Not sure yet,3-5 years,No,A minor role,Social media and online success stories;Personal research and aspirations;Career mentors or teachers,Canada,Never,Better living standards;Economic opportunities;Healthcare,Visa or immigration concerns;Separation from family;Social acceptance,Hobbies or physical exercise,No change,Job information or experience;Visa or immigration process;Family pressure or support,No,Not sure,Yes,Yes,2
40 or above,Male,Employed,No,Yes,Permanently,Yes,No role at all,Personal research and aspirations;Friends or peer influence;Family pressure or support,USA,Sometimes,Desire for independence;Higher education;Political stability,Separation from family;Visa or immigration concerns;Language barriers,Other,Yes,All country Embassy is not in Bangladesh;Visa or immigration process;Educational qualification,Not sure,No impact,No,No,2
25-30,Male,Employed,No,No,1-2 years,No,A moderate role,Personal research and aspirations;Social media and online success stories;Friends or peer influence,Australia,Sometimes,Desire for independence;Healthcare;Better living standards,Separation from family;Visa or immigration concerns;Language barriers,Hobbies or physical exercise,Yes,All country Embassy is not in Bangladesh;Family pressure or support;Job information or experience,No,Negative impact,Yes,Yes,2
40 or above,Male,Unemployed,No,Yes,Less than 1 year,No,A minor role,Friends or peer influence;Family pressure or support;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Rarely,Desire for independence;Better living standards;Better job opportunities,Visa or immigration concerns;Separation from family;Job uncertainty,Joining online forums,No,Family pressure or support;Financial issues;Visa or immigration process,Not sure,Negative impact,Yes,Maybe,2
31-40,Male,Employed,Yes,Yes,Less than 1 year,Yes,A significant role,Social media and online success stories;Friends or peer influence;Personal research and aspirations,Australia,Rarely,Higher education;Healthcare;Political stability,Separation from family;Visa or immigration concerns;Job uncertainty,Joining online forums,No,Educational qualification;Family pressure or support;All country Embassy is not in Bangladesh,No,No impact,No,Yes,3
18-24,Female,Student,No,Not sure yet,1-2 years,Maybe,A moderate role,Personal research and aspirations;Friends or peer influence;Career mentors or teachers,Canada,Sometimes,Higher education;Better living standards;Political stability,Separation from family;Visa or immigration concerns;Job uncertainty,Joining online forums,I’m not sure,Visa or immigration process;All country Embassy is not in Bangladesh;Educational qualification,No,Negative impact,Not Sure,Maybe,2
31-40,Male,Other,No,No,1-2 years,Yes,A significant role,Career mentors or teachers;Family pressure or support;Friends or peer influence,Canada,Always,Political stability;Better job opportunities;Economic opportunities,Separation from family;Visa or immigration concerns;Job uncertainty,Other,I’m not sure,All country Embassy is not in Bangladesh;Educational qualification;Visa or immigration process,No,No impact,No,Yes,4
31-40,Male,Freelancer,No,No,1-2 years,No,No role at all,Family pressure or support;Friends or peer influence;Social media and online success stories,"Middle East (e.g., UAE, Saudi Arabia)",Often,Healthcare;Better job opportunities;Economic opportunities,Separation from family;Visa or immigration concerns;Job uncertainty,Professional counseling,No change,Family pressure or support;Educational qualification;All country Embassy is not in Bangladesh,No,No impact,Not Sure,Maybe,2
40 or above,Male,Unemployed,Yes,Yes,1-2 years,Maybe,A significant role,Personal research and aspirations;Career mentors or teachers;Social media and online success stories,Australia,Often,Political stability;Healthcare;Better living standards,Visa or immigration concerns;Separation from family;Job uncertainty,Other,No change,Financial issues;Educational qualification;Visa or immigration process,Yes,No impact,Yes,Yes,5
